rank,document,verdict
1,dok253.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok394.txt,WA
5,dok390.txt,WA
6,dok402.txt,WA
7,dok376.txt,WA
8,dok248.txt,WA
9,dok172.txt,WA
10,dok299.txt,WA
11,dok6.txt,WA
12,dok77.txt,WA
13,dok378.txt,WA
14,dok372.txt,WA
15,dok274.txt,WA
16,dok373.txt,WA
17,dok298.txt,WA
18,dok197.txt,WA
19,dok393.txt,WA
20,dok200.txt,WA
21,dok194.txt,WA
22,dok149.txt,AC
23,dok228.txt,WA
24,dok360.txt,WA
25,dok140.txt,WA
26,dok69.txt,WA
27,dok150.txt,WA
28,dok187.txt,WA
29,dok169.txt,WA
30,dok3.txt,WA
31,dok74.txt,WA
32,dok340.txt,AC
33,dok399.txt,WA
34,dok178.txt,WA
35,dok384.txt,WA
36,dok214.txt,WA
37,dok234.txt,WA
38,dok275.txt,WA
39,dok377.txt,WA
40,dok148.txt,WA
41,dok285.txt,WA
42,dok270.txt,WA
43,dok338.txt,WA
44,dok227.txt,WA
45,dok123.txt,WA
46,dok52.txt,WA
47,dok4.txt,WA
48,dok75.txt,WA
49,dok374.txt,WA
50,dok318.txt,WA
51,dok239.txt,WA
52,dok103.txt,WA
53,dok32.txt,WA
54,dok357.txt,WA
55,dok205.txt,WA
56,dok379.txt,WA
57,dok351.txt,WA
58,dok310.txt,WA
59,dok249.txt,WA
60,dok102.txt,WA
61,dok31.txt,WA
62,dok312.txt,WA
63,dok151.txt,WA
64,dok233.txt,WA
65,dok216.txt,AC
66,dok245.txt,WA
67,dok141.txt,WA
68,dok70.txt,WA
69,dok219.txt,WA
70,dok198.txt,WA
71,dok242.txt,WA
72,dok186.txt,WA
73,dok327.txt,WA
74,dok401.txt,WA
75,dok237.txt,WA
76,dok271.txt,WA
77,dok231.txt,WA
78,dok122.txt,WA
79,dok51.txt,WA
80,dok347.txt,AC
81,dok337.txt,WA
82,dok181.txt,WA
83,dok301.txt,WA
84,dok190.txt,AC
85,dok208.txt,WA
86,dok313.txt,WA
87,dok133.txt,WA
88,dok62.txt,WA
89,dok282.txt,WA
90,dok336.txt,AC
91,dok375.txt,WA
92,dok193.txt,WA
93,dok358.txt,WA
94,dok314.txt,WA
95,dok306.txt,WA
96,dok293.txt,WA
97,dok132.txt,WA
98,dok61.txt,WA
99,dok250.txt,WA
100,dok241.txt,WA
