rank,document,verdict
1,dok253.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok385.txt,WA
5,dok15.txt,WA
6,dok86.txt,WA
7,dok394.txt,AC
8,dok248.txt,WA
9,dok142.txt,AC
10,dok71.txt,AC
11,dok145.txt,WA
12,dok402.txt,WA
13,dok372.txt,WA
14,dok157.txt,WA
15,dok25.txt,WA
16,dok96.txt,WA
17,dok261.txt,WA
18,dok343.txt,WA
19,dok390.txt,WA
20,dok161.txt,WA
21,dok382.txt,WA
22,dok3.txt,WA
23,dok74.txt,WA
24,dok179.txt,WA
25,dok144.txt,WA
26,dok393.txt,WA
27,dok4.txt,WA
28,dok75.txt,WA
29,dok399.txt,WA
30,dok224.txt,WA
31,dok140.txt,WA
32,dok69.txt,WA
33,dok217.txt,WA
34,dok176.txt,WA
35,dok186.txt,WA
36,dok209.txt,WA
37,dok284.txt,WA
38,dok7.txt,WA
39,dok78.txt,WA
40,dok108.txt,WA
41,dok37.txt,WA
42,dok162.txt,WA
43,dok384.txt,WA
44,dok220.txt,WA
45,dok271.txt,WA
46,dok327.txt,WA
47,dok102.txt,WA
48,dok31.txt,WA
49,dok280.txt,WA
50,dok1.txt,WA
51,dok72.txt,WA
52,dok201.txt,WA
53,dok28.txt,WA
54,dok99.txt,WA
55,dok103.txt,WA
56,dok32.txt,WA
57,dok243.txt,WA
58,dok234.txt,WA
59,dok229.txt,WA
60,dok348.txt,WA
61,dok131.txt,WA
62,dok60.txt,WA
63,dok231.txt,WA
64,dok351.txt,WA
65,dok20.txt,WA
66,dok91.txt,WA
67,dok315.txt,AC
68,dok273.txt,AC
69,dok5.txt,WA
70,dok76.txt,WA
71,dok106.txt,WA
72,dok35.txt,WA
73,dok196.txt,WA
74,dok126.txt,WA
75,dok55.txt,WA
76,dok133.txt,WA
77,dok62.txt,WA
78,dok139.txt,AC
79,dok68.txt,WA
80,dok292.txt,WA
81,dok136.txt,WA
82,dok65.txt,WA
83,dok107.txt,WA
84,dok36.txt,WA
85,dok104.txt,WA
86,dok33.txt,WA
87,dok170.txt,WA
88,dok265.txt,WA
89,dok322.txt,WA
90,dok165.txt,WA
91,dok17.txt,WA
92,dok88.txt,WA
93,dok130.txt,WA
94,dok59.txt,WA
95,dok128.txt,WA
96,dok57.txt,WA
97,dok332.txt,WA
98,dok211.txt,WA
99,dok354.txt,WA
100,dok355.txt,WA
