rank,document,verdict
1,dok253.txt,WA
2,dok385.txt,WA
3,dok394.txt,AC
4,dok15.txt,WA
5,dok86.txt,WA
6,dok142.txt,AC
7,dok71.txt,AC
8,dok145.txt,WA
9,dok402.txt,WA
10,dok342.txt,AC
11,dok248.txt,WA
12,dok25.txt,WA
13,dok96.txt,WA
14,dok117.txt,WA
15,dok46.txt,WA
16,dok157.txt,WA
17,dok343.txt,WA
18,dok276.txt,WA
19,dok149.txt,WA
20,dok161.txt,WA
21,dok111.txt,WA
22,dok40.txt,WA
23,dok19.txt,WA
24,dok90.txt,WA
25,dok200.txt,WA
26,dok373.txt,WA
27,dok21.txt,WA
28,dok92.txt,WA
29,dok144.txt,WA
30,dok328.txt,WA
31,dok3.txt,WA
32,dok74.txt,WA
33,dok399.txt,WA
34,dok365.txt,WA
35,dok179.txt,WA
36,dok22.txt,WA
37,dok93.txt,WA
38,dok225.txt,WA
39,dok11.txt,WA
40,dok82.txt,WA
41,dok269.txt,WA
42,dok176.txt,WA
43,dok386.txt,WA
44,dok400.txt,WA
45,dok274.txt,WA
46,dok397.txt,WA
47,dok150.txt,WA
48,dok140.txt,WA
49,dok69.txt,WA
50,dok371.txt,WA
51,dok197.txt,WA
52,dok271.txt,WA
53,dok230.txt,WA
54,dok327.txt,WA
55,dok169.txt,WA
56,dok18.txt,WA
57,dok89.txt,WA
58,dok224.txt,WA
59,dok7.txt,WA
60,dok78.txt,WA
61,dok1.txt,WA
62,dok72.txt,WA
63,dok103.txt,WA
64,dok32.txt,WA
65,dok80.txt,WA
66,dok9.txt,WA
67,dok370.txt,WA
68,dok186.txt,WA
69,dok260.txt,WA
70,dok268.txt,WA
71,dok325.txt,WA
72,dok229.txt,WA
73,dok348.txt,WA
74,dok247.txt,WA
75,dok2.txt,WA
76,dok73.txt,WA
77,dok296.txt,WA
78,dok383.txt,WA
79,dok110.txt,WA
80,dok39.txt,WA
81,dok280.txt,WA
82,dok364.txt,WA
83,dok243.txt,WA
84,dok304.txt,WA
85,dok207.txt,WA
86,dok139.txt,WA
87,dok68.txt,WA
88,dok164.txt,WA
89,dok287.txt,WA
90,dok166.txt,WA
91,dok16.txt,WA
92,dok87.txt,WA
93,dok309.txt,WA
94,dok192.txt,WA
95,dok266.txt,WA
96,dok170.txt,WA
97,dok173.txt,WA
98,dok323.txt,WA
99,dok183.txt,WA
100,dok396.txt,WA
