rank,document,verdict
1,dok253.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok385.txt,WA
5,dok319.txt,WA
6,dok394.txt,AC
7,dok189.txt,WA
8,dok402.txt,WA
9,dok365.txt,WA
10,dok142.txt,AC
11,dok71.txt,AC
12,dok157.txt,WA
13,dok25.txt,WA
14,dok96.txt,WA
15,dok145.txt,WA
16,dok111.txt,WA
17,dok40.txt,WA
18,dok179.txt,WA
19,dok343.txt,AC
20,dok261.txt,WA
21,dok276.txt,WA
22,dok21.txt,WA
23,dok92.txt,WA
24,dok200.txt,WA
25,dok144.txt,WA
26,dok11.txt,WA
27,dok82.txt,WA
28,dok269.txt,WA
29,dok274.txt,WA
30,dok281.txt,WA
31,dok115.txt,WA
32,dok44.txt,WA
33,dok177.txt,WA
34,dok149.txt,WA
35,dok275.txt,WA
36,dok217.txt,WA
37,dok188.txt,WA
38,dok162.txt,WA
39,dok243.txt,WA
40,dok247.txt,WA
41,dok207.txt,WA
42,dok347.txt,WA
43,dok203.txt,WA
44,dok296.txt,WA
45,dok291.txt,WA
46,dok183.txt,WA
47,dok216.txt,WA
48,dok181.txt,WA
49,dok240.txt,WA
50,dok180.txt,WA
