rank,document,verdict
1,dok386.txt,WA
2,dok113.txt,WA
3,dok42.txt,WA
4,dok331.txt,WA
5,dok387.txt,WA
6,dok383.txt,WA
7,dok23.txt,WA
8,dok94.txt,WA
9,dok142.txt,AC
10,dok71.txt,AC
11,dok141.txt,WA
12,dok70.txt,WA
13,dok389.txt,WA
14,dok343.txt,AC
15,dok139.txt,WA
16,dok68.txt,WA
17,dok20.txt,WA
18,dok91.txt,WA
19,dok11.txt,WA
20,dok82.txt,WA
21,dok230.txt,WA
22,dok10.txt,WA
23,dok81.txt,WA
24,dok103.txt,WA
25,dok32.txt,WA
26,dok132.txt,WA
27,dok61.txt,WA
28,dok394.txt,AC
29,dok133.txt,WA
30,dok62.txt,WA
31,dok80.txt,WA
32,dok9.txt,WA
33,dok28.txt,WA
34,dok99.txt,WA
35,dok24.txt,WA
36,dok95.txt,WA
37,dok334.txt,WA
38,dok18.txt,WA
39,dok89.txt,WA
40,dok352.txt,WA
41,dok268.txt,WA
42,dok325.txt,WA
43,dok355.txt,WA
44,dok131.txt,WA
45,dok60.txt,WA
46,dok7.txt,WA
47,dok78.txt,WA
48,dok136.txt,WA
49,dok65.txt,WA
50,dok265.txt,WA
