rank,document,verdict
1,dok213.txt,AC
2,dok247.txt,WA
3,dok364.txt,AC
4,dok399.txt,WA
5,dok400.txt,AC
6,dok296.txt,WA
7,dok190.txt,WA
8,dok253.txt,WA
9,dok249.txt,WA
10,dok369.txt,WA
11,dok276.txt,WA
12,dok164.txt,AC
13,dok287.txt,WA
14,dok299.txt,WA
15,dok205.txt,WA
16,dok301.txt,WA
17,dok145.txt,WA
18,dok365.txt,WA
19,dok228.txt,WA
20,dok225.txt,WA
21,dok291.txt,WA
22,dok142.txt,WA
23,dok71.txt,WA
24,dok269.txt,WA
25,dok274.txt,WA
26,dok18.txt,WA
27,dok89.txt,WA
28,dok385.txt,WA
29,dok166.txt,WA
30,dok192.txt,WA
31,dok149.txt,WA
32,dok200.txt,WA
33,dok210.txt,WA
34,dok243.txt,WA
35,dok309.txt,WA
36,dok402.txt,WA
37,dok261.txt,WA
38,dok216.txt,WA
39,dok255.txt,WA
40,dok373.txt,WA
41,dok127.txt,WA
42,dok56.txt,WA
43,dok168.txt,WA
44,dok260.txt,WA
45,dok217.txt,WA
46,dok128.txt,WA
47,dok57.txt,WA
48,dok104.txt,WA
49,dok33.txt,WA
50,dok256.txt,WA
51,dok366.txt,WA
52,dok300.txt,WA
53,dok379.txt,WA
54,dok272.txt,WA
55,dok401.txt,WA
56,dok183.txt,WA
57,dok394.txt,WA
58,dok343.txt,WA
59,dok11.txt,WA
60,dok82.txt,WA
61,dok251.txt,WA
62,dok129.txt,WA
63,dok58.txt,WA
64,dok157.txt,WA
65,dok224.txt,WA
66,dok1.txt,WA
67,dok72.txt,WA
68,dok125.txt,WA
69,dok54.txt,WA
70,dok180.txt,WA
71,dok390.txt,WA
72,dok372.txt,WA
73,dok393.txt,WA
74,dok124.txt,WA
75,dok53.txt,WA
76,dok108.txt,WA
77,dok37.txt,WA
78,dok111.txt,WA
79,dok40.txt,WA
80,dok248.txt,WA
81,dok117.txt,WA
82,dok46.txt,WA
83,dok197.txt,WA
84,dok24.txt,WA
85,dok95.txt,WA
86,dok79.txt,WA
87,dok8.txt,WA
88,dok288.txt,WA
89,dok110.txt,WA
90,dok39.txt,WA
91,dok268.txt,WA
92,dok325.txt,WA
93,dok209.txt,WA
94,dok186.txt,WA
95,dok252.txt,WA
96,dok347.txt,WA
97,dok244.txt,WA
98,dok264.txt,WA
99,dok25.txt,WA
100,dok96.txt,WA
