rank,document,verdict
1,dok253.txt,WA
2,dok394.txt,WA
3,dok402.txt,WA
4,dok365.txt,WA
5,dok274.txt,WA
6,dok373.txt,WA
7,dok385.txt,WA
8,dok197.txt,WA
9,dok142.txt,WA
10,dok71.txt,WA
11,dok145.txt,WA
12,dok161.txt,WA
13,dok133.txt,WA
14,dok62.txt,WA
15,dok137.txt,WA
16,dok66.txt,WA
17,dok213.txt,WA
18,dok217.txt,WA
19,dok399.txt,WA
20,dok7.txt,AC
21,dok78.txt,AC
22,dok200.txt,WA
23,dok276.txt,WA
24,dok261.txt,WA
25,dok18.txt,WA
26,dok89.txt,WA
27,dok309.txt,WA
28,dok228.txt,WA
29,dok260.txt,WA
30,dok231.txt,WA
31,dok351.txt,WA
32,dok249.txt,WA
33,dok296.txt,WA
34,dok247.txt,WA
35,dok192.txt,WA
36,dok166.txt,WA
37,dok128.txt,WA
38,dok57.txt,WA
39,dok104.txt,WA
40,dok225.txt,WA
41,dok168.txt,WA
42,dok288.txt,WA
43,dok268.txt,AC
44,dok325.txt,AC
45,dok243.txt,WA
46,dok291.txt,WA
47,dok255.txt,WA
48,dok207.txt,WA
